iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,30.608325481414795,-45.383244368280295,6.183147534813137,-0.50110935095459,-53.48449304791328,0.0,2.3338811119715546,0.1,0.18910980224609375,4.343647718429565,22.783236,3.644116e-05,-45.383244368280295,-0.45550892695282136,-0.45383320923389237,0.0,9505,3.9677157402038574,0.9961948867070344,0.012040156124045237,9505,-19.11982159596297,0.0
1,31.13292407989502,-44.41328984406218,5.004735890515986,-34.19128395072848,-57.79904667881085,0.0,1.7321038034971397,0.1,0.18302655220031738,5.310007572174072,0.041642357,0.043161314,-45.286248915858486,-0.44413359620246756,-0.44413359620246756,0.0,9600,3.7920384407043457,0.01710832733884163,0.007015043711249794,19105,-21.66302430301481,0.0
2,30.610100746154785,-43.66643194602501,4.7323328108614175,-33.89692801062449,-54.49875764857004,0.0,1.8242010996044837,0.1,0.16983270645141602,5.152557134628296,0.03889704,0.044639077,-45.12426721887514,-0.43666297394909276,-0.43666297394909276,0.0,9600,3.901888132095337,0.00801110892033461,0.0032448116701096932,28705,-28.842749332374456,0.0
3,30.00450873374939,-42.14992003594356,5.989549131065626,-0.3917537592074333,-50.941794865545354,0.0,1.666423577061217,0.1,0.17891550064086914,5.09644079208374,0.050831966,0.08357191,-44.82683250058198,-0.4231745208100222,-0.4214979924844151,0.0,9504,3.7625205516815186,0.00594670713109574,0.003202942132692614,38209,-26.795326925449025,0.0
4,30.471526861190796,-40.17880624096859,3.963895193752521,-31.241214389995207,-47.32052379586887,0.0,1.4817410970937868,0.1,0.17519807815551758,5.1455397605896,0.047622345,0.05549123,-44.362029874620646,-0.40178183018531993,-0.40178183018531993,0.0,9600,3.814185857772827,0.005398912419761535,0.001987602990484298,47809,-20.09669359453387,0.0
5,30.85953164100647,-39.334759312636045,7.886434301417878,-31.185604449654026,-105.99940709432869,0.0,1.3688407282978656,0.1,0.1838550567626953,5.440905332565308,0.04538365,0.03139434,-43.859302818422194,-0.3933494847685888,-0.3933494847685888,0.0,9600,3.8391237258911133,0.050806134239662584,0.01820919702889904,57409,-21.85372688070977,0.0
6,29.69941473007202,-38.89405731649135,8.421390521796752,-0.5787685952068427,-102.94374856051338,0.0,2.1794698651607147,0.1,0.19917941093444824,5.185920000076294,0.041569673,0.0356685,-43.36277826822911,-0.39022641763934446,-0.3889468337899707,0.0,9507,3.814533233642578,0.03695589127872866,0.024269467486531075,66916,-26.1025472817496,0.0
7,29.667046785354614,-38.21517403605663,13.688376236496829,-1.5069388284394425,-162.39474321572345,0.0,2.0851551148238463,0.1,0.172929048538208,5.320810317993164,0.034711514,0.035492457,-42.84801784501186,-0.38411703995146623,-0.38216046312441215,0.0,9509,3.8042538166046143,0.07218039840958015,0.03361932594397726,76425,-22.196208024460887,0.0
8,29.94905948638916,-36.67903720697405,3.190285901822623,-30.124650405696663,-47.47106202622398,0.0,1.6921245728996521,0.1,0.2020115852355957,5.198079347610474,0.045398336,0.05494035,-42.23111978120808,-0.36679650541498116,-0.36679650541498116,0.0,9600,3.8319520950317383,0.009351094271001255,0.005072802141834394,86025,-21.905415384758935,0.0
9,30.23074507713318,-36.62841754498469,4.256318175010514,-30.107676050327647,-50.07467397650111,0.0,2.128821231167752,0.1,0.18125128746032715,5.270917654037476,0.04115611,0.043410096,-41.67084955758574,-0.3662850138367424,-0.3662850138367424,0.0,9600,3.875131845474243,0.0260757492705203,0.010814928133095118,95625,-22.667886893793444,0.0
10,34.32019233703613,-35.909888654566,3.985900486748135,-28.9903932114775,-47.77747965721285,0.0,2.3270128628401596,0.1,0.17721319198608398,5.271899461746216,0.043614317,0.039964836,-41.094753467283766,-0.3591088289042381,-0.3591088289042381,0.0,9600,3.8366236686706543,0.013909821850535515,0.00801339320236399,105225,-22.212098395945127,0.0
11,30.54798913002014,-37.68662675020135,11.626252380646179,-24.339912140235867,-126.19049371255404,0.0,2.1078524999665733,0.1,0.1738417148590088,5.145086765289307,0.04257628,0.035221174,-40.75394079557553,-0.3768730954293323,-0.3768730954293323,0.0,9600,3.7645838260650635,0.09334992893388708,0.04341281147548326,114825,-20.168522291389785,0.0
12,30.47724223136902,-36.37441637740327,11.546852930765848,-25.398160239845808,-141.76636346301004,0.0,1.975436873527798,0.1,0.19178080558776855,5.2311482429504395,0.044523403,0.040005874,-40.3159883537583,-0.36374858196376997,-0.36374858196376997,0.0,9600,3.808049201965332,0.0786073488367918,0.045039646138827404,124425,-21.724547381351055,0.0
13,29.864489793777466,-35.17439910099413,4.942426857956221,-0.29593692687116613,-46.51960457735038,0.0,1.6735656487478292,0.1,0.17912602424621582,5.1580822467803955,0.049853913,0.06339172,-39.80182942848188,-0.35378271815311746,-0.3517495407278408,0.0,9503,3.742893695831299,0.018094984763795757,0.008027064463178003,133928,-23.40045991101107,0.0
14,30.424150705337524,-35.253588696311546,4.882702390636567,-23.09965127314262,-49.4968329508016,0.0,1.990482366269017,0.1,0.20713520050048828,5.308573007583618,0.044913646,0.042599946,-39.34700535526485,-0.35253965187046093,-0.35253965187046093,0.0,9600,3.8059325218200684,0.017557569542349306,0.009661639842825741,143528,-21.151531025425676,0.0
