iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,20.353895902633667,-4649.081650723571,716.4240690170084,11.628117953891413,-5051.455284228081,0.0,0.8988905277280638,0.1,0.1680915355682373,2.5278079509735107,22.782724,3.835794e-05,-4649.081650723571,-0.4396045959877319,-46.49082013720678,0.0,9407,5.366472959518433,0.9999752909381722,0.058060936149872226,9407,-445.3632770436855,0.0
1,21.048993825912476,-4750.379632424237,182.59257351028586,-4136.915139578492,-5046.21504742296,0.0,1.3254081914866218,0.1,0.11034750938415527,2.4542291164398193,0.06352679,0.06322931,-4659.211448893638,-0.4552575805702479,-47.50379924723691,0.0,9600,6.2903733253479,0.06740120665607688,0.028199836040713272,19007,-4859.149378310717,0.0
2,22.241376638412476,-4813.236572279914,162.72590587130128,-4287.8790803888005,-5047.989591097396,0.0,1.6408429827752755,0.1,0.13819313049316406,2.630045175552368,0.04709402,0.054357592,-4674.613961232265,-0.4490326710162198,-48.13236600434956,0.0,9600,6.453831672668457,0.0263058173390463,0.013460349734382569,28607,-3427.979943251315,0.0
3,20.361901998519897,-4774.530195968681,520.9006045357042,11.643172807319448,-5049.151854224323,0.0,1.684704559753053,0.1,0.1085197925567627,2.476572275161743,0.047340382,0.077052236,-4684.605584705907,-0.44331826915212086,-47.745300124800394,0.0,9504,6.054857015609741,0.01703179841328494,0.011517845436428949,38111,-3013.2348758159324,0.0
4,22.10006880760193,-4755.199643328134,203.45206981181693,-4137.511877431612,-5046.987494386918,0.0,1.7528092068952261,0.1,0.12529754638671875,2.4964466094970703,0.050022844,0.05617667,-4691.66499056813,-0.43282427814840235,-47.55199094481507,0.0,9600,7.419278621673584,0.009717596218030262,0.006819526548220981,47711,-3195.508287445898,0.0
5,21.12313985824585,-4724.44927938879,239.58813477672848,-3763.995604583676,-5047.360167374109,0.0,1.8183113684591037,0.1,0.11688828468322754,2.8427326679229736,0.048718225,0.05563226,-4694.943419450196,-0.4192764722344988,-47.24448480556783,0.0,9600,6.615293025970459,0.008134238772754819,0.004702825361497997,57311,-3725.5620729761263,0.0
6,24.26999545097351,-4540.048752984224,564.3411570555536,11.153819524533315,-5043.538124527075,0.0,1.88455048362613,0.1,0.11948537826538086,2.708331346511841,0.05239974,0.071940094,-4679.453952803599,-0.4111811212326601,-45.40049385518902,0.0,9507,6.562162637710571,0.007828267958327723,0.005132618345643782,66818,-3428.1016342630246,0.0
7,20.23766040802002,-4509.482548855143,578.5619413063675,11.63298960322006,-5042.372593290784,0.0,1.5783328802114225,0.1,0.1237480640411377,2.3594069480895996,0.046283837,0.10180042,-4662.456812408754,-0.4491261426511499,-45.094829005593375,0.0,9504,5.604698419570923,0.006468633621015313,0.004304867717208197,76322,-3959.9263663444895,0.0
8,19.724408864974976,-4476.016463286648,579.0713219623264,15.169084210789778,-5043.2358848792555,0.0,1.647334412890126,0.1,0.10572147369384766,2.329207420349121,0.051039435,0.06645453,-4643.812777496543,-0.4314732795420972,-44.76017038241786,0.0,9508,5.525577783584595,0.005684906532246339,0.004135501256655409,85830,-4028.8798346087315,0.0
9,19.8393816947937,-4432.176529365115,381.28217302224647,-3578.2925480842505,-5043.352469520891,0.0,1.6127309948786108,0.1,0.10647869110107422,2.3498892784118652,0.047798615,0.054996375,-4622.649152683401,-0.4115590770479545,-44.32176741038129,0.0,9600,5.489177703857422,0.00343060569231044,0.0025477293121552048,95430,-3815.835254271346,0.0
10,19.644733428955078,-4374.565482748846,576.4222234822417,23.125031177960658,-5040.743821137756,0.0,1.4842447895995885,0.1,0.1163339614868164,2.350741147994995,0.047309402,0.11423501,-4597.840785689946,-0.45111144721893504,-43.74551991641073,0.0,9509,5.891723155975342,0.005132655908288836,0.0044750143619121515,104939,-3810.202742952721,0.0
11,20.03037142753601,-4360.881695597595,597.4015098434205,11.711498345395867,-5043.369237424483,0.0,1.586991885084445,0.1,0.10982036590576172,2.437635660171509,0.052538276,0.0983285,-4574.144876680712,-0.4018653456528609,-43.60882071199925,0.0,9503,5.45425009727478,0.003860772867703203,0.002907718362432409,114442,-3660.4325815419543,0.0
12,19.452500343322754,-4255.706214311686,704.909023301997,15.653459670122297,-5045.168997965774,0.0,1.7542058529153526,0.1,0.10422778129577637,2.6427435874938965,0.050654136,0.06855283,-4542.301010443809,-0.45467396666603804,-42.556926483071855,0.0,9433,5.334972143173218,0.008616053891590036,0.007649581547939969,123875,-3668.8000249652323,0.0
13,19.75171685218811,-4139.129362341477,601.2067252109057,57.84112356223937,-5039.670776121893,0.0,1.7743836614291526,0.1,0.10570478439331055,2.333728790283203,0.04851485,0.067815654,-4501.983845633576,-0.39846525396626903,-41.39129577836238,0.0,9522,5.5259504318237305,0.008552124334874666,0.007383260461370375,133397,-3558.8682738969774,0.0
14,20.60510563850403,-4107.8956899871155,453.89431021526707,-3079.9303313438795,-5040.853808184303,0.0,1.563504985386621,0.1,0.11324238777160645,2.3258676528930664,0.048757788,0.06005359,-4462.57503006893,-0.4026049869376025,-41.07885498693761,0.0,9600,5.571289539337158,0.004555253810189578,0.0036704856002022653,142997,-3434.5901177433116,0.0
15,20.186997890472412,-3996.1439866899927,640.4500794587989,53.531126675276795,-4991.317270479884,0.0,1.7115662032615735,0.1,0.11004257202148438,2.367746353149414,0.047528774,0.060784336,-4415.931925731036,-0.4058980761642638,-39.96144726204815,0.0,9525,5.364071369171143,0.01113002595597187,0.009180273870177709,152522,-3646.216267488947,0.0
16,20.70637083053589,-3972.9259031969837,476.18522249281585,-2981.9810133535693,-4984.547868155833,0.0,1.7114601194328263,0.1,0.11631560325622559,2.700639247894287,0.05333449,0.05863453,-4371.631323477632,-0.4194596476486532,-39.72925131431532,0.0,9600,5.560052394866943,0.005434269538088096,0.004598428301186456,162122,-3078.9909042190034,0.0
17,20.24542737007141,-3778.941268351118,507.7607883385898,-2738.8470994336244,-4940.0976762710725,0.0,1.73438316548295,0.1,0.12620210647583008,2.4321441650390625,0.050669752,0.057511933,-4312.36231796498,-0.38816146852403915,-37.78941146852404,0.0,9600,5.818106412887573,0.007407852957035139,0.005068177161925927,171722,-3079.628604066401,0.0
18,20.44035005569458,-3749.7039604577462,713.0294546830667,-33.35249896089399,-5037.617387911596,0.0,1.8536430423895955,0.1,0.13250207901000977,2.451083183288574,0.050097607,0.06079518,-4256.096482214257,-0.3830657846183052,-37.497030199783985,0.0,9523,5.904691219329834,0.014423879402333459,0.012584957475790451,181245,-3166.5081443553267,0.0
19,19.918138027191162,-3730.3243649534356,718.1803884582722,45.04508529455248,-4986.687942563041,0.0,1.6431099060140526,0.1,0.1088409423828125,2.286057233810425,0.04944437,0.06410532,-4203.519270488175,-0.3731521859316027,-37.303199917902646,0.0,9528,5.294657945632935,0.013858309068666594,0.011943401873099562,190773,-2306.883496699844,0.0
20,20.491199493408203,-3652.6872214325813,670.5355550093235,-1919.3867873102192,-4988.04050219487,0.0,1.806364570859599,0.1,0.11125349998474121,2.478846311569214,0.050127525,0.061384745,-4148.436065582616,-0.36601056537924254,-36.52684389871258,0.0,9600,6.042808532714844,0.010733043629321917,0.00859208546101532,200373,-2652.7939328444863,0.0
21,20.22747039794922,-3538.3791827922855,637.9433884565506,-1239.6345374471869,-5035.129633586654,0.0,1.73537133173617,0.1,0.10310983657836914,2.3386738300323486,0.048426248,0.053591613,-4087.430377303583,-0.36105589339648486,-35.38376422672982,0.0,9600,5.381106615066528,0.011378298838711356,0.009782902660776664,209973,-2111.6568262883816,0.0
22,20.33277130126953,-3360.0406287574424,737.2979533837139,-1370.193614290416,-4888.355964064677,0.0,1.8180475484045424,0.1,0.1582026481628418,2.409726858139038,0.047057945,0.052465655,-4014.6914024489693,-0.3330941288780739,-33.60038579554474,0.0,9600,5.654309988021851,0.017998009939032594,0.014982014625565887,219573,-1198.6754125381785,0.0
23,20.315402030944824,-3369.797071295474,739.9851115628611,-1583.862534677581,-4982.408398591799,0.0,1.8637137248529172,0.1,0.13370823860168457,2.2281579971313477,0.048454907,0.051271383,-3950.2019693336197,-0.3187989138230347,-33.6979655804897,0.0,9600,5.958087682723999,0.019537344386912847,0.01607830049857751,229173,-1070.1764754892495,0.0
24,22.22763466835022,-3142.120388005951,800.7216527491013,-1000.2728380052309,-4830.386627160028,0.0,1.936268572921552,0.1,0.10671615600585938,2.358856201171875,0.048619483,0.048753317,-3869.3938112008527,-0.30617867204555793,-31.421178672045556,0.0,9600,5.590481996536255,0.029571090483508047,0.022124619614596143,238773,-829.4408810303354,0.0
25,21.029074668884277,-2921.1904997228316,1038.4777216368257,38.65516801158205,-4880.591803547547,0.0,1.839833864866786,0.1,0.12330365180969238,2.699179172515869,0.049120653,0.054782953,-3774.573480053051,-0.2792000470703022,-29.211907598215678,0.0,9542,6.137150287628174,0.04360025325066981,0.028921560854409233,248315,-672.2313549486992,0.0
26,22.371907949447632,-2749.6417685290985,997.6515819986902,18.673629948459393,-4985.8215467382815,0.0,1.820219346667698,0.1,0.1160883903503418,2.4893434047698975,0.047942583,0.05348471,-3672.080308900656,-0.27703773458542186,-27.49641273458542,0.0,9600,5.85729193687439,0.038330960706424035,0.031084359655625185,257915,-947.1437288977502,0.0
27,20.93229055404663,-2743.9446397471934,1173.0410039507115,73.9525143185112,-4986.751151275721,0.0,1.7281298675001109,0.1,0.11284184455871582,2.6035940647125244,0.04970525,0.05649182,-3579.2667419853096,-0.2635693895630097,-27.43943630328073,0.0,9560,6.50781774520874,0.05674765690775703,0.04788697433202494,267475,-1403.1781459533115,0.0
28,24.713502168655396,-2461.405033029114,1259.8233981042329,-215.92986358714387,-4981.865828109893,0.0,2.04286743899785,0.1,0.14127802848815918,2.8060786724090576,0.046680775,0.044414904,-3467.4805710896903,-0.23112910432071354,-24.614045770987378,0.0,9600,7.121164083480835,0.10549092803622782,0.08648755603143111,277075,-1348.5670332390748,0.0
29,20.241469860076904,-2163.2217340836432,1492.804089486787,189.12056130656887,-4976.681937414248,0.0,1.8628669410788794,0.1,0.11030054092407227,2.5520050525665283,0.04596591,0.047974993,-3337.0546873890858,-0.2153133182711023,-21.632204132109212,0.0,9529,6.096531867980957,0.15261722371740832,0.11390785812336864,286604,-1427.750846295263,0.0
30,20.576001405715942,-2272.0894139062043,1395.0129162469696,115.62859983447451,-4975.04270046784,0.0,1.9457853899244424,0.1,0.11408042907714844,2.4559483528137207,0.04712431,0.04821203,-3230.5581600407977,-0.21762350893988489,-22.720911963272414,0.0,9581,5.9871299266815186,0.11240950180493148,0.09504033740685632,296185,-1283.4117252679703,0.0
31,20.242384672164917,-1893.4593016521267,1584.8453639436946,103.72185089013043,-4873.174423879095,0.0,1.7379110419749744,0.1,0.11045336723327637,2.510683536529541,0.047002077,0.057097886,-3096.848274201931,-0.19312799812222062,-18.93459988099465,0.0,9582,6.451602458953857,0.16332406085372458,0.12690353885962177,305767,-1267.769894703581,0.0
32,20.78619408607483,-1809.914287474161,1436.4985384840165,168.9578077467196,-4972.936949809335,0.0,1.8759200563414593,0.1,0.10734796524047852,2.518605947494507,0.047167875,0.051352635,-2968.154875529154,-0.19312390467727267,-18.10437390467727,0.0,9600,5.537307024002075,0.3065698804721047,0.19243792387370642,315367,-641.7306119011063,0.0
33,20.266513347625732,-1699.7845367561702,1412.824404297434,180.6724759265877,-4923.929081571779,0.0,1.7391801373989895,0.1,0.11393523216247559,2.3236355781555176,0.046688035,0.054468002,-2841.317841651856,-0.18693697418287894,-16.997864453098614,0.0,9575,5.572608947753906,0.27326554136845593,0.18499231335913505,324942,-416.6283361295071,0.0
34,20.457783937454224,-1652.083611103639,1539.9919521542645,229.08930247675036,-4923.489554249933,0.0,1.708071083494696,0.1,0.12496662139892578,2.4943671226501465,0.04474959,0.05026726,-2722.3944185970345,-0.18199173317118242,-16.52607515297048,0.0,9559,5.554182052612305,0.2717736509556373,0.20629334437062413,334501,-1138.6261082343358,0.0
35,20.673516750335693,-1636.2964096270462,1465.69945782071,193.93803451015722,-4872.33013579797,0.0,1.7932555915166337,0.1,0.11469244956970215,2.380740165710449,0.04579619,0.053511404,-2613.784617700036,-0.1848348995286635,-16.362959899528665,0.0,9600,5.739369630813599,0.3044394937525875,0.23156289221748727,344101,-1318.1614596743807,0.0
36,22.943989753723145,-1461.7748914632195,1422.3322429157406,161.4154499422788,-4923.719313144211,0.0,1.7480137897072694,0.1,0.10456180572509766,2.3488199710845947,0.04927362,0.05784986,-2498.5836450763545,-0.18131890917656576,-14.622985575843233,0.0,9600,5.560725927352905,0.34539057308551374,0.26972000789597306,353701,-486.6875025268614,0.0
37,20.311200380325317,-1445.6258650141735,1406.3162452123472,105.1251659550416,-4976.682395665311,0.0,1.901891442098675,0.1,0.10194969177246094,2.360018491744995,0.047476374,0.04812993,-2393.287867070136,-0.17981823299669877,-14.456276566330033,0.0,9600,5.486621856689453,0.3375584779597227,0.2608618589865411,363301,-191.5627919663493,0.0
38,19.868544578552246,-1397.7991790872074,1386.008750305931,221.1181876093798,-4923.812784323108,0.0,1.6943766331464742,0.1,0.10654592514038086,2.3573853969573975,0.048871405,0.05584062,-2293.7389982718432,-0.1813390292290785,-13.978005695895746,0.0,9600,5.515508651733398,0.30375157235947575,0.2324092439599938,372901,-1589.34835751089,0.0
39,19.96132779121399,-1530.11686412416,1214.3009102013673,76.39368878948805,-4923.490768002458,0.0,2.047026614394769,0.1,0.10726594924926758,2.3366329669952393,0.04575044,0.043579955,-2217.376784857075,-0.18368495689743444,-15.301184956897435,0.0,9600,5.502800941467285,0.29473803244898444,0.22773511097052462,382501,-1342.8897066592588,0.0
40,20.006035566329956,-1367.8046306927763,1355.8631913398424,145.427691871604,-4772.831189460583,0.0,1.9688334725641632,0.1,0.1074984073638916,2.3259525299072266,0.04773592,0.050370336,-2132.4195694406453,-0.18396317863150605,-13.683279470437036,0.0,9595,5.443507432937622,0.37757307323723693,0.3028175469816972,392096,-1288.2496160634305,0.0
41,20.02627396583557,-1467.1532671333116,1508.7425976202956,221.89064854735426,-4824.112599492835,0.0,1.72796675786844,0.1,0.1066427230834961,2.332653284072876,0.0453519,0.051739782,-2065.892939209912,-0.1820518594302775,-14.671549429648705,0.0,9547,5.408898591995239,0.32525286344402476,0.23420976717281705,401643,-1432.2350073548912,0.0
42,19.916215896606445,-1272.3205459239425,1375.395724536923,157.54497808423224,-4828.155879283264,0.0,1.702654378699922,0.1,0.0998222827911377,2.3134238719940186,0.051081046,0.05632046,-1986.5356998813152,-0.17532049688465579,-12.728862163551321,0.0,9600,5.643326997756958,0.36736868680966134,0.2626827563599146,411243,-1499.6454651753206,0.0
43,19.853375911712646,-1263.8155370327895,1400.0119081714804,160.45265615771774,-4723.611338525447,0.0,1.6974870042380923,0.1,0.10465693473815918,2.317312240600586,0.055312544,0.054500468,-1914.2636835964627,-0.17490046458421235,-12.643385740873116,0.0,9576,5.417813777923584,0.35458981034259257,0.2681945599439924,420819,-1526.9512265431017,0.0
44,20.08419132232666,-1411.9395924676508,1444.4491352185046,185.21782105732927,-4973.259575575196,0.0,1.9430345688486064,0.1,0.11109089851379395,2.3676719665527344,0.04858638,0.04535335,-1864.0312744835815,-0.18092587069184565,-14.124626636360725,0.0,9583,5.440658330917358,0.33610656297328084,0.21386211358927468,430402,-1511.0412022205967,0.0
